[07-Sep-2018 16:14:45 UTC] PHP Notice:  Undefined variable: id in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 235
[07-Sep-2018 16:25:43 UTC] PHP Fatal error:  Class class@anonymous contains 10 abstract methods and must therefore be declared abstract or implement the remaining methods (Jasny\Entity\EntityInterface::set, Jasny\Entity\EntityInterface::toAssoc, Jasny\Entity\EntityInterface::isGhost, ...) in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 235
[07-Sep-2018 16:26:33 UTC] PHP Fatal error:  Trait 'Jasny\Tests\EntityCollection\GetSetTrait' not found in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 236
[07-Sep-2018 16:27:25 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Jasny\Entity\EntityInterface::applyState) in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 240
[07-Sep-2018 16:28:16 UTC] PHP Fatal error:  Class 'Jasny\Tests\EntityCollection\Entity' not found in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 240
[07-Sep-2018 16:28:28 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Jasny\Entity\EntityInterface::applyState) in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 241
[07-Sep-2018 16:48:54 UTC] PHP Fatal error:  Class 'Jasny\Tests\EntityCollection\Entity' not found in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntitySetTest.php on line 393
[07-Sep-2018 16:57:24 UTC] PHP Notice:  Accessing static property Jasny\Tests\EntityCollection\EntitySetTest::$mockEntityClass as non static in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntitySetTest.php on line 77
[07-Sep-2018 16:57:24 UTC] PHP Notice:  Undefined property: Jasny\Tests\EntityCollection\EntitySetTest::$mockEntityClass in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntitySetTest.php on line 77
[07-Sep-2018 17:25:42 UTC] PHP Fatal error:  Class Mock_EntityInterface_2b82c2e3 contains 12 abstract methods and must therefore be declared abstract or implement the remaining methods (Jasny\Entity\EntityInterface::set, Jasny\Entity\EntityInterface::toAssoc, Jasny\Entity\EntityInterface::hasIdProperty, ...) in D:\WebServers\home\git-forks\jasny\entity\vendor\phpunit\phpunit\src\Framework\MockObject\Generator.php(606) : eval()'d code on line 1
[07-Sep-2018 17:34:22 UTC] PHP Fatal error:  Dynamic class names are not allowed in compile-time ::class fetch in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\Traits\InitTraitTest.php on line 58
[07-Sep-2018 17:43:47 UTC] PHP Fatal error:  Class 'Jasny\Tests\EntityCollection\Traits\Entity' not found in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\Traits\SearchTraitTest.php on line 143
[07-Sep-2018 17:43:59 UTC] PHP Notice:  Undefined variable: class in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\Traits\SearchTraitTest.php on line 107
[07-Sep-2018 17:44:17 UTC] PHP Notice:  Undefined variable: class in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\Traits\SearchTraitTest.php on line 109
[07-Sep-2018 17:54:00 UTC] PHP Fatal error:  Class class@anonymous contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (class@anonymous::getId, class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 49
[07-Sep-2018 18:30:11 UTC] PHP Fatal error:  Trait 'Jasny\Tests\Entity\Traits\IdentifyTrait' not found in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 34
